,index,name,latitude,longitude,address,category,rating,category_count
342,600,Twin's Cafe,45.491264,9.203464,Via Giovanni Schiaperelli,Café,,1
343,601,Indumenti da Lavoro e Sport,45.492677,9.184739,Via Carlo Farini 58,Clothing Store,,1
344,602,Redo Calzature SAS di Russo Giovanni E. C.,45.495246,9.185785,Via Carlo Farini 78,Shoe Store,,1
345,603,Bar Lunigiana,45.492189,9.204515,Viale Lunigiana 20,Café,,1
346,608,Caffetteria Daisy,45.497039,9.185624,Via Luigi Federico Menabrea 24,Café,,1
347,609,Desigual,45.48373,9.193083,Corso buenos aires 29,Women's Store,6.1,1
348,610,Caffetteria Mory Cry,45.498193,9.187343,Piazzale Maciachini 10,Café,,1
349,612,Mignon,45.48672428912786,9.203721284866333,Piazza Duca d'Aosta 1,"Café, Restaurant",5.2,2
350,614,Arkadin Italy,45.487698,9.194986,Viale Francesco Restelli 3,"Advertising Agency, Electrical Equipment Supplier, Computers and Electronics Retail, Clothing Store, Home Appliance Store",,5
351,615,IL SALOTTO3 Camiceria Abbigliamento uomo donna,45.49221,9.188958,Via Thaon di Revel 12,Clothing Store,,1
352,616,Studio AMeBE,45.497041,9.198031,Via Villa Mirabello 6,"Website Designer, Fashion Retail",,2
353,617,Mag Mastri Artigiani del Gelato,45.481822,9.221399,Viale Gran Sasso 27,"Café, Frozen Yogurt Shop, Ice Cream Parlor",8.7,3
354,618,Pasticceria Antica Sicilia,45.480975,9.216635,Via Carlo Matteucci 4,"Dessert Shop, Café",8.5,2
355,619,Harp Pub Guinness,45.477396,9.225517,Piazza Leonardo da Vinci 10,"Pub, Café, Restaurant",7.3,3
356,620,Evento Caffé,45.483555,9.216663,Viale Abruzzi 79,"Café, Restaurant",7.3,2
357,621,Bespoke,45.475356,9.220891,Via plinio 63,"Tailor, Boutique, Clothing Store",,3
358,622,Piccoli Sogni SRL Semplificata,45.475575,9.219755,Via Plinio 60,Clothing Store,,1
359,623,Bar Chez Yvonne,45.478123,9.220018,Largo Celestino Usuelli,Café,,1
360,624,Coffee and dreams,45.473286,9.229506,Via Sandro Botticelli 34,"Café, Restaurant",,2
361,625,Papi Manola,45.473234,9.230669,Piazzale Paolo Gorini 10,"Clothing Store, Women's Store",,2
362,626,Dream Caffè,45.479114,9.216664,Via Farneti 14,"Bar, Café, Restaurant",,3
363,627,Mozart Wine & Coffee,45.479155,9.21652,Via Rodolfo Farneti 14,"Café, Restaurant",,2
364,628,La giostra di Bacco,45.482034,9.229244,Via Pacini 28,"Café, Restaurant",,2
365,629,Parsifal Bar con Cucina,45.484416,9.223832,Viale Lombardia 31,"Café, Restaurant",,2
366,630,L'angolo,45.483281,9.229656,Via Porpora 140,Lingerie Store,,1
367,631,L'Alouette Boutique,45.468571,9.222734,Via Gaspare Gozzi 4,Clothing Store,,1
368,632,Lanfossi SRL,45.468535,9.225191,Viale Argonne 1,Jewelry Store,,1
369,633,Mgstampa,45.477458,9.21204,Via Morgagni 14,Clothing Store,,1
370,634,Capolinea 965 Milano-Pioltello,45.484499,9.21961,Piazza Aspromonte 30,Bus Station,,1
371,636,Tokmi SAS di Paola Rigamonti & Co,45.476254,9.218844,Via Plinio 49,Fashion Retail,,1
372,637,Mirò di Marco Sirtori,45.477211,9.216836,Viale Abruzzi 25,Shoe Store,,1
373,638,Domino SAS di Dominelli Eliana Preziosa & C.,45.470159,9.22158,Via Giuditta Sidoli 7,"Clothing Store, Women's Store",,2
374,639,Effe Bi Confezioni di Balducci Francesco e Balducci Francesca,45.469599,9.224282,Viale Romagna 10,Clothing Store,,1
375,640,Italiantrendy Abbigliamento Lavoro,45.473169,9.21531,Via degli Scipioni 1,Clothing Store,,1
376,641,Dorim SRL,45.48268,9.229679,Corso di Porta Nuova 34,"Advertising Agency, Metals Supplier, Clothing Store",,3
377,642,Studio Fanfani di Fanfani Elisabetta e C. SAS,45.48275,9.217404,Viale Abruzzi 72,Fashion Retail,,1
378,643,Bar Luce,45.444167,9.205268,Largo Isarco 2 — lodi,"Bar, Café",8.6,2
379,650,Paola Frani SPA,45.453105,9.204102,Via Carlo Botta 8,"Clothing Store, Women's Store",,2
380,656,Viva Buono Fresco Naturale,45.455874,9.195363,Largo della Crocetta 2,"Café, Restaurant",,2
381,658,Scaffidi Amalia,45.451092,9.192998,Viale Bligny 25,"Bar, Café",,2
382,659,Boggi Milano - Bm39,45.45658,9.194726,Corso di Porta Romana 76,"Clothing Store, Men's Store",,2
383,660,Sabrina Frigoli,45.456865,9.194832,Corso di Porta Romana 57,"Clothing Store, Women's Store",,2
384,668,Dhiab Lassad Ben Brahim,45.456105,9.204498,Viale Monte Nero 27,"Clothing Store, Women's Store",,2
385,669,Pellicceria Adriana di Montagano Adriana,45.451105,9.196513,Viale Bligny 47,Fashion Retail,,1
386,676,Micheletto SRL,45.446767,9.195901,Via Balbo Cesare 34,Jewelry Store,,1
387,681,Bonaccini Liliana,45.457283,9.193489,Corso di Porta Romana 64,Bridal Store,,1
388,684,Alvin's Bar Pasticceria,45.495302,9.207212,Via Melchiorre Gioia 141,Café,7.6,1
389,686,Bar Aquarius,45.496915,9.200684,Via Galvani 15,Café,,1
390,687,Happy Bar Da.Ma,45.496106,9.207583,Via Melchiorre Gioia 175,"Bar, Café, Restaurant",,3
